Cycle,SeqState,PlugInfo,FLAG_Stop,FLAG_Relay,Ia,Ib,Ic,FaultState,Charg_Cnt,Real_Battery_Voltage,Expected Battery_Voltage,H,CanMsg_Received,IsoR
1,0,0,1,0,0,0,0,0,0,398,400,15,1,800000
2,0,0,1,0,0,0,0,0,0,399,400,15,1,800000
3,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
4,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
5,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
6,0,0,1,0,0,0,0,0,0,401,400,15,1,800000
7,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
8,0,0,1,0,0,0,0,0,0,401,400,15,1,800000
9,0,0,1,0,0,0,0,0,0,399,400,15,1,800000
10,0,1,1,0,0,0,0,0,0,398,400,15,1,800000
11,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
12,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
13,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
14,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
15,1,2,0,1,4,5,4,0,0,398,400,15,1,800000
16,2,2,0,1,11,9,7,0,1,399,400,15,1,800000
17,2,2,0,1,13,12,8,0,2,400,400,15,1,800000
18,2,2,0,1,15,14,13,0,3,400,400,15,1,800000
19,2,2,0,1,16,17,14,0,4,400,400,15,1,800000
20,2,2,0,1,18,19,21,0,5,401,400,15,1,800000
21,2,2,0,1,19,16,18,0,6,400,400,15,1,800000
22,2,2,0,1,17,18,19,0,7,401,400,15,1,800000
23,2,2,0,1,16,17,17,0,8,399,400,16,1,800000
24,2,2,0,1,18,17,16,0,9,398,400,16,1,800000
25,2,2,0,1,17,16,18,0,10,399,400,16,1,800000
26,2,2,0,1,17,18,17,0,11,400,400,16,1,800000
27,2,2,0,1,19,16,18,0,12,400,400,17,1,800000
28,2,2,0,1,17,18,19,0,13,400,400,17,1,800000
29,2,2,0,1,16,17,17,0,14,401,400,17,1,800000
30,2,2,0,1,18,17,16,0,15,400,400,17,1,800000
31,2,2,0,1,19,18,18,0,16,400,400,18,1,800000
32,2,2,0,1,20,19,19,0,17,401,400,18,1,800000
